"X","SITE","Richardson_Slope","GEBCO_slope","resid","predict_steep","ISLAND","REGION"
1,"JOH-00106",8.70466451,14.9062614440918,-6.2015969340918,"Shallow","Johnston","PRIAs"
2,"JOH-00112",10.68625756,20.4239196777344,-9.7376621177344,"Steep","Johnston","PRIAs"
3,"JOH-00110",8.780356308,26.3054838180542,-17.5251275100542,"Shallow","Johnston","PRIAs"
4,"JOH-00111",7.777586411,18.5376901626587,-10.7601037516587,"Shallow","Johnston","PRIAs"
5,"JOH-00114",13.06258407,22.6080713272095,-9.5454872572095,"Steep","Johnston","PRIAs"
6,"HOW-00108",43.37228074,18.4692449569702,24.9030357830298,"Steep","Howland","PRIAs"
7,"HOW-00127",40.84610266,21.7008123397827,19.1452903202173,"Steep","Howland","PRIAs"
8,"HOW-00105",38.87327832,23.3729839324951,15.5002943875049,"Steep","Howland","PRIAs"
9,"HOW-00406",38.78643765,23.3729839324951,15.4134537175049,"Steep","Howland","PRIAs"
10,"HOW-00117",38.68657972,19.2677059173584,19.4188738026416,"Steep","Howland","PRIAs"
11,"HOW-00104",23.20613988,26.6105206807454,-3.4043808007454,"Steep","Howland","PRIAs"
12,"HOW-00112",19.00709133,23.5722255706787,-4.5651342406787,"Steep","Howland","PRIAs"
13,"HOW-00114",23.03933604,24.1922931671143,-1.1529571271143,"Steep","Howland","PRIAs"
14,"HOW-00100",23.73404934,21.9465618133545,1.7874875266455,"Steep","Howland","PRIAs"
15,"HOW-00123",27.10514554,18.6554832458496,8.4496622941504,"Steep","Howland","PRIAs"
16,"HOW-00122",22.91359962,21.9465618133545,0.9670378066455,"Steep","Howland","PRIAs"
17,"HOW-00107",24.52967705,18.6005945205688,5.9290825294312,"Steep","Howland","PRIAs"
18,"HOW-00429",38.50048189,20.5065679550171,17.9939139349829,"Steep","Howland","PRIAs"
19,"HOW-00116",42.95061661,26.3865699768066,16.5640466331934,"Steep","Howland","PRIAs"
20,"HOW-00416",39.11666869,21.7454299926758,17.3712386973242,"Steep","Howland","PRIAs"
21,"HOW-00101",26.65084587,23.4528684616089,3.1979774083911,"Steep","Howland","PRIAs"
22,"BAK-00129",24.85216178,21.9494190216064,2.9027427583936,"Steep","Baker","PRIAs"
23,"BAK-00125",5.196543277,21.7329387664795,-16.5363954894795,"Shallow","Baker","PRIAs"
24,"BAK-00124",14.63671319,22.8751494089762,-8.2384362189762,"Steep","Baker","PRIAs"
25,"BAK-00111",6.528665768,13.5955171585083,-7.0668513905083,"Shallow","Baker","PRIAs"
26,"BAK-00126",22.34407347,23.0073668162028,-0.663293346202799,"Steep","Baker","PRIAs"
27,"BAK-00128",2.072813748,15.9091982841492,-13.8363845361492,"Shallow","Baker","PRIAs"
28,"BAK-00127",34.3568854,21.9494190216064,12.4074663783936,"Steep","Baker","PRIAs"
29,"BAK-00116",11.12971077,16.5809416770935,-5.4512309070935,"Steep","Baker","PRIAs"
30,"BAK-00121",4.320260276,19.624124844869,-15.303864568869,"Shallow","Baker","PRIAs"
31,"BAK-00123",31.42944667,21.3011302947998,10.1283163752002,"Steep","Baker","PRIAs"
32,"BAK-00122",28.25329845,21.9494190216064,6.3038794283936,"Steep","Baker","PRIAs"
33,"BAK-00114",9.926837853,16.5809416770935,-6.6541038240935,"Shallow","Baker","PRIAs"
34,"BAK-00112",2.647429672,14.2376317977905,-11.5902021257905,"Shallow","Baker","PRIAs"
35,"BAK-00109",5.559508073,16.716007232666,-11.156499159666,"Shallow","Baker","PRIAs"
36,"BAK-00110",7.760601355,18.5935230255127,-10.8329216705127,"Shallow","Baker","PRIAs"
37,"BAK-00115",14.59154761,19.2160849571228,-4.6245373471228,"Steep","Baker","PRIAs"
38,"BAK-00105",18.3735895,25.1429052352905,-6.7693157352905,"Steep","Baker","PRIAs"
39,"BAK-00101",28.50876884,30.0530481338501,-1.5442792938501,"Steep","Baker","PRIAs"
40,"BAK-00100",29.04776356,28.4720783233643,0.575685236635699,"Steep","Baker","PRIAs"
41,"TUT-00358",7.87936197,4.98733724653721,2.89202472346279,"Shallow","Tutuila","SAMOA"
42,"TUT-00363",4.435803648,1.2915304005146,3.1442732474854,"Shallow","Tutuila","SAMOA"
43,"TUT-00307",7.41177009,3.23986482620239,4.17190526379761,"Shallow","Tutuila","SAMOA"
44,"TUT-00270",4.69813945,3.01132329305013,1.68681615694987,"Shallow","Tutuila","SAMOA"
45,"TUT-00306",7.198905449,3.99310022592545,3.20580522307455,"Shallow","Tutuila","SAMOA"
46,"TUT-00226",6.568235807,3.92271959781647,2.64551620918353,"Shallow","Tutuila","SAMOA"
47,"TUT-00296",13.78905952,4.50348742802938,9.28557209197062,"Steep","Tutuila","SAMOA"
48,"TUT-00202",6.691790569,4.7581878900528,1.9336026789472,"Shallow","Tutuila","SAMOA"
49,"TUT-00329",6.590189208,4.7581878900528,1.8320013179472,"Shallow","Tutuila","SAMOA"
50,"TUT-00314",6.609839784,4.3395160138607,2.2703237701393,"Shallow","Tutuila","SAMOA"
51,"TUT-00220",8.368382434,3.2668141523997,5.1015682816003,"Shallow","Tutuila","SAMOA"
52,"TUT-00351",13.02543084,2.26389503479004,10.76153580521,"Steep","Tutuila","SAMOA"
53,"TUT-00429",9.762637843,3.18758869171143,6.57504915128857,"Shallow","Tutuila","SAMOA"
54,"TUT-00318",8.737137196,14.698795636495,-5.961658440495,"Shallow","Tutuila","SAMOA"
55,"TUT-00325",7.381815386,3.87115061283112,3.51066477316888,"Shallow","Tutuila","SAMOA"
56,"TUT-00309",9.86343892,15.6271572113037,-5.7637182913037,"Shallow","Tutuila","SAMOA"
57,"TUT-00254",24.62841037,13.8880498409271,10.7403605290729,"Steep","Tutuila","SAMOA"
58,"TUT-00311",11.04421104,17.0847384134928,-6.0405273734928,"Steep","Tutuila","SAMOA"
59,"TUT-00340",13.70237919,16.5881042480469,-2.8857250580469,"Steep","Tutuila","SAMOA"
60,"TUT-00241",15.7517459,17.0698877970378,-1.3181418970378,"Steep","Tutuila","SAMOA"
61,"TUT-00366",10.85244431,13.9440898895264,-3.0916455795264,"Steep","Tutuila","SAMOA"
62,"TUT-00223",11.2854696,19.7190399169922,-8.4335703169922,"Steep","Tutuila","SAMOA"
63,"TUT-00235",14.29034011,19.7190399169922,-5.4286998069922,"Steep","Tutuila","SAMOA"
64,"TUT-00216",16.35095883,16.7355213165283,-0.384562486528299,"Steep","Tutuila","SAMOA"
65,"TUT-00339",7.865177132,24.0904655456543,-16.2252884136543,"Shallow","Tutuila","SAMOA"
66,"TUT-00356",6.050587673,1.81861375272274,4.23197392027726,"Shallow","Tutuila","SAMOA"
67,"TUT-00360",4.581900527,21.4180609385173,-16.8361604115173,"Shallow","Tutuila","SAMOA"
68,"TUT-00313",8.142422602,3.63358548283577,4.50883711916423,"Shallow","Tutuila","SAMOA"
69,"TUT-00308",5.850723071,7.4968444108963,-1.6461213398963,"Shallow","Tutuila","SAMOA"
70,"TUT-00218",8.554781004,2.10020395119985,6.45457705280015,"Shallow","Tutuila","SAMOA"
71,"TUT-00349",7.60653082,2.32564949989319,5.28088132010681,"Shallow","Tutuila","SAMOA"
72,"TUT-00210",4.008195555,21.165491104126,-17.157295549126,"Shallow","Tutuila","SAMOA"
73,"TUT-00280",4.211553143,25.130007425944,-20.918454282944,"Shallow","Tutuila","SAMOA"
74,"TUT-00317",6.580028613,4.05576475461324,2.52426385838676,"Shallow","Tutuila","SAMOA"
75,"TUT-00265",2.900679625,7.65357661247253,-4.75289698747253,"Shallow","Tutuila","SAMOA"
76,"TUT-00298",2.993866006,9.5014443397522,-6.5075783337522,"Shallow","Tutuila","SAMOA"
77,"TUT-00261",5.749191856,2.97603392601013,2.77315792998987,"Shallow","Tutuila","SAMOA"
78,"TUT-00274",5.551508166,3.21760511398315,2.33390305201685,"Shallow","Tutuila","SAMOA"
79,"TUT-00294",5.921764057,3.15619373321533,2.76557032378467,"Shallow","Tutuila","SAMOA"
80,"TUT-00251",4.652925019,14.8102951049805,-10.1573700859805,"Shallow","Tutuila","SAMOA"
81,"TUT-00277",3.944461333,14.7319264411926,-10.7874651081926,"Shallow","Tutuila","SAMOA"
82,"TUT-00250",5.001544474,2.97603392601013,2.02551054798987,"Shallow","Tutuila","SAMOA"
83,"TUT-00361",6.727126451,6.88718843460083,-0.16006198360083,"Shallow","Tutuila","SAMOA"
84,"TUT-00279",6.930040086,18.3664789199829,-11.4364388339829,"Shallow","Tutuila","SAMOA"
85,"TUT-00362",6.297434504,29.9457530975342,-23.6483185935342,"Shallow","Tutuila","SAMOA"
86,"TUT-00260",3.637462914,18.036989847819,-14.399526933819,"Shallow","Tutuila","SAMOA"
87,"TUT-00324",3.406673645,25.1869554519653,-21.7802818069653,"Shallow","Tutuila","SAMOA"
88,"TUT-00369",8.220916409,1.53007765611013,6.69083875288987,"Shallow","Tutuila","SAMOA"
89,"TUT-00284",3.761913471,16.8727521896362,-13.1108387186362,"Shallow","Tutuila","SAMOA"
90,"TUT-00321",4.626954199,26.2089087168376,-21.5819545178376,"Shallow","Tutuila","SAMOA"
91,"TUT-00212",6.387111889,1.81861375272274,4.56849813627726,"Shallow","Tutuila","SAMOA"
92,"TUT-00205",4.252791147,1.90171043078105,2.35108071621895,"Shallow","Tutuila","SAMOA"
93,"TUT-00229",2.938448127,1.13900879025459,1.79943933674541,"Shallow","Tutuila","SAMOA"
94,"TUT-00209",6.977808835,2.16879969835281,4.80900913664719,"Shallow","Tutuila","SAMOA"
95,"TUT-00259",8.529755053,2.99878072738648,5.53097432561352,"Shallow","Tutuila","SAMOA"
96,"TUT-00484",4.678127209,2.72512316703796,1.95300404196204,"Shallow","Tutuila","SAMOA"
