"island","REGION","mean","sd","median","n_cells","na_cells","time"
"Hawaii","MHI",45.6931049029032,5.17751503467933,45.9182224273682,24,1,1993-01-01
"Maui","MHI",49.5657527446747,4.67302626259041,48.5763549804688,16,1,1993-01-01
"Oahu","MHI",49.9210183279855,3.2137236700163,50.0510311126709,14,1,1993-01-01
"Kauai","MHI",47.5721664428711,4.55677430345873,48.0312900543213,12,0,1993-01-01
"Molokai","MHI",51.381761377508,4.90495504548751,52.792179107666,11,1,1993-01-01
"Guam","MARIAN",49.1593746185303,2.97967196565913,48.7776260375977,10,1,1993-01-01
"Lanai","MHI",46.2277074541364,3.33018003942516,46.9824104309082,7,1,1993-01-01
"Niihau","MHI",50.0137877464294,2.42773214102868,50.0746917724609,8,0,1993-01-01
"Tutuila","SAMOA",13.7275978724162,0.652612770034991,13.6710619926453,6,0,1993-01-01
"Saipan","MARIAN",47.4557495117188,1.85096024934668,47.1082305908203,5,0,1993-01-01
"Tinian","MARIAN",47.4435849870954,1.8282672675334,47.1082305908203,7,0,1993-01-01
"Jarvis","PRIAs",39.424919128418,3.37419606023602,39.8691158294678,4,0,1993-01-01
"Rota","MARIAN",45.1964241027832,2.03026070365377,44.3759918212891,5,0,1993-01-01
"Aguijan","MARIAN",47.235097249349,1.75339351290435,47.2447395324707,6,0,1993-01-01
"Sarigan","MARIAN",58.6418876647949,0.852531790924222,58.8003902435303,4,0,1993-01-01
"Guguan","MARIAN",55.553032875061,2.84882280352709,54.8459548950195,4,0,1993-01-01
"Pagan","MARIAN",49.6701393127441,1.51375580202167,49.6187076568604,4,0,1993-01-01
"Agrihan","MARIAN",54.6523462931315,2.28095161429228,54.3290519714355,6,0,1993-01-01
"Asuncion","MARIAN",64.3481197357178,2.9230611989833,64.1622829437256,4,0,1993-01-01
"Farallon de Pajaros","MARIAN",63.3704023361206,3.09475761806845,63.6608963012695,4,0,1993-01-01
"Tau","SAMOA",12.6486239433289,0.580441992043336,12.5225853919983,6,0,1993-01-01
"Alamagan","MARIAN",53.9511642456055,1.19204450818545,53.5394840240479,4,0,1993-01-01
"Swains","SAMOA",18.3947954177856,0.612813337353909,18.2454433441162,4,0,1993-01-01
"Howland","PRIAs",18.6128187179565,0.196591631145204,18.6241903305054,4,0,1993-01-01
"Laysan","NWHI",53.5536012649536,9.98487620278495,50.8707466125488,4,0,1993-01-01
"Nihoa","NWHI",55.8491147359212,3.4411217380186,56.0113716125488,3,1,1993-01-01
"Maug","MARIAN",68.4766139984131,0.870729920802243,68.3686981201172,4,0,1993-01-01
"Necker","NWHI",54.6717465718587,9.63689101211351,59.3651485443115,6,0,1993-01-01
"Ofu & Olosega","SAMOA",12.2343966166178,0.257984780601507,12.2311110496521,6,0,1993-01-01
"Baker","PRIAs",18.8538959503174,0.370070141931405,18.8019428253174,5,0,1993-01-01
