"METHOD","REGION","OBS_YEAR","ISLAND","PERM_SITE","CLIMATE_STATION_YN","SITE","REEF_ZONE","DEPTH_BIN","SITEVISITID","CCA","CORAL","EMA","HALI","I","MA","SC","SED","TURF","N","new.N","CCA_CORAL","BSR","MISSIONID","DATE_","SEC_NAME","new_MIN_DEPTH_M","new_MAX_DEPTH_M","LATITUDE_LOV","LONGITUDE_LOV","ANALYSIS_YEAR","ANALYSIS_SCHEME","TRANSECT_PHOTOS","EXCLUDE_FLAG","Oceanography","OCC_SITEID"
"CPCE","CT",2013,"Timor Leste",0,0,"ATA-00053","Forereef","Mid",5836,7.71929824561404,15.4385964912281,2.80701754385965,0,2.45614035087719,1.05263157894737,12.280701754386,0.350877192982456,57.8947368421053,310,285,23.1578947368421,0.392857142857143,"SBP1310",2013-06-18,"ATA",11.5,17.6,-8.22678868,125.5241346,"2013","RAMP_BASIC","-1",-1,0,NA
"CPCE","CT",2013,"Timor Leste",0,0,"ATA-00058","Forereef","Shallow",5830,4.27631578947368,9.53947368421053,0,0,2.63157894736842,8.22368421052632,3.28947368421053,0,72.0394736842105,310,304,13.8157894736842,0.172131147540984,"SBP1310",2013-06-18,"ATA",2.1,2.6,-8.2207719,125.5462159,"2013","RAMP_BASIC","-1",-1,0,NA
"CPCE","CT",2013,"Timor Leste",0,0,"ATA-00062","Forereef","Mid",5835,14.760147601476,28.4132841328413,8.48708487084871,2.9520295202952,10.7011070110701,6.64206642066421,11.4391143911439,0,16.6051660516605,310,271,43.1734317343173,1.85714285714286,"SBP1310",2013-06-18,"ATA",4.5,37,-8.15301334,125.6024217,"2013","RAMP_BASIC","-1",-1,0,NA
"CPCE","CT",2013,"Timor Leste",0,0,"ATA-00063","Forereef","Shallow",5828,14.6825396825397,32.5396825396825,7.53968253968254,0,1.19047619047619,1.98412698412698,6.34920634920635,0,35.7142857142857,310,252,47.2222222222222,1.25263157894737,"SBP1310",2013-06-18,"ATA",5.3,27.3,-8.19646027,125.5627068,"2013","RAMP_BASIC","-1",-1,0,NA
"CPCE","CT",2013,"Timor Leste",0,0,"ATA-00066","Forereef","Mid",5831,3.59712230215827,39.568345323741,4.31654676258993,0,5.75539568345324,1.07913669064748,1.79856115107914,4.31654676258993,39.568345323741,310,278,43.1654676258993,1.06194690265487,"SBP1310",2013-06-18,"ATA",12.1,18.2,-8.21972491,125.5340133,"2013","RAMP_BASIC","-1",-1,0,NA
"CPCE","CT",2013,"Timor Leste",0,0,"ATA-00070","Forereef","Mid",5834,6.86695278969957,30.9012875536481,3.00429184549356,0,3.00429184549356,3.00429184549356,4.29184549356223,0,48.9270386266094,300,233,37.7682403433476,0.727272727272727,"SBP1310",2013-06-18,"ATA",7,30.5,-8.21389169,125.5513343,"2013","RAMP_BASIC","-1",-1,0,NA
"CPCE","CT",2013,"Timor Leste",0,0,"ATA-00074","Forereef","Shallow",5827,4.40677966101695,4.40677966101695,1.69491525423729,0,0,2.71186440677966,5.08474576271187,0,81.6949152542373,300,295,8.8135593220339,0.104417670682731,"SBP1310",2013-06-18,"ATA",2.4,3.4,-8.17821957,125.5809595,"2013","RAMP_BASIC","-1",-1,0,NA
"CPCE","CT",2013,"Timor Leste",0,0,"ATA-00075","Forereef","Shallow",5833,4.11522633744856,20.1646090534979,4.93827160493827,0,2.88065843621399,0.823045267489712,11.522633744856,0,55.5555555555556,300,243,24.2798353909465,0.430656934306569,"SBP1310",2013-06-18,"ATA",2.4,9.1,-8.17205518,125.5864544,"2013","RAMP_BASIC","-1",-1,0,NA
"CPCE","CT",2013,"Timor Leste",0,0,"ATA-00076","Forereef","Mid",5832,4.63320463320463,33.2046332046332,3.08880308880309,0,4.63320463320463,3.08880308880309,13.5135135135135,0,37.8378378378378,310,259,37.8378378378378,0.924528301886792,"SBP1310",2013-06-18,"ATA",6,18.4,-8.18486843,125.5736666,"2013","RAMP_BASIC","-1",-1,0,NA
"CPCE","CT",2013,"Timor Leste",0,0,"ATA-00077","Forereef","Shallow",5829,11.1731843575419,10.0558659217877,3.35195530726257,0,13.9664804469274,1.11731843575419,11.731843575419,0.558659217877095,48.0446927374302,200,179,21.2290502793296,0.431818181818182,"SBP1310",2013-06-18,"ATA",2.1,3,-8.15966154,125.5940917,"2013","RAMP_BASIC","-1",-1,0,NA
"CPCE","CT",2013,"Timor Leste",0,0,"BAU-00001","Forereef","Mid",5858,4.69314079422383,0.36101083032491,5.41516245487365,0,12.2743682310469,0,0.36101083032491,17.6895306859206,59.2057761732852,300,277,5.05415162454874,0.0853658536585366,"SBP1310",2013-06-23,"BAU",11.6,19,-8.41600872,126.4121056,"2013","RAMP_BASIC","-1",-1,0,NA
"CPCE","CT",2013,"Timor Leste",0,0,"BAU-00003","Forereef","Shallow",5861,0.65359477124183,4.2483660130719,1.63398692810458,5.22875816993464,0.65359477124183,0.65359477124183,3.92156862745098,34.640522875817,48.3660130718954,310,306,4.90196078431373,0.1,"SBP1310",2013-06-23,"BAU",4.5,5.5,-8.44550363,126.4921857,"2013","RAMP_BASIC","-1",-1,0,NA
"CPCE","CT",2014,"Timor Leste",0,0,"BAU-00004","UNKNOWN","UNKNOWN",7424,1.73010380622837,17.6470588235294,0,0,4.49826989619377,0,42.9065743944637,10.0346020761246,23.1833910034602,300,289,19.3771626297578,0.835820895522388,"MP1419",2014-09-28,"Timor Leste",NA,NA,-8.4196,126.42707,"2014",NA,"-1",-1,1,NA
"CPCE","CT",2013,"Timor Leste",0,0,"BAU-00006","Forereef","Mid",5863,0.327868852459016,0.983606557377049,1.31147540983607,0,0.327868852459016,0,4.59016393442623,42.6229508196721,49.8360655737705,310,305,1.31147540983607,0.0263157894736842,"SBP1310",2013-06-23,"BAU",9.1,12,-8.43360342,126.4563984,"2013","RAMP_BASIC","-1",-1,0,NA
