"island","island_messie","lon","lat","type","chl_island","cv_chl","chl_ime","chl_no_ime","months_ime","cv_ime","median_ime_percent","median_chl_percent","max_ime_percent","total_ime_chl_tCm","total_increase_chl_tCm","lat_neg","ime_diff"
"Abaiang","Abaiang",173.01,1.84,"Island",0.323819669584433,15.2077639504148,0.323819669584433, ,12,25.9217112763753,116.9129550457,116.9129550457,166.356706619263,133.516222999235,12.6419787093324,-1.84, 
"Abemama","Abemama",173.91,0.43,"Island",0.202585628877083,13.2573480518294,0.197126023471355,0.203677549958229,2,15.8181592222713,24.2031596601009,24.0923695266247,48.3987748622894,2.55585006361102,0.163851352104935,-0.43,-3.21661689676513
"Agrihan","Agrihan",145.67,18.77,"Island",0.0575731064503392,9.96951182207841,0.0570678072981536,0.0585837047547102,8,48.5516146837191,7.45127834379673,9.65989679098129,32.4389547109604,2.60724296913452,0.0674577062105897,-18.77,-2.58757527012608
"Ahe (Peacock)","Ahe (Peacock)",213.67,-14.52,"Island",0.0763991198812922,12.8702806468974,0.0736156776547432,0.0802959389984608,7,44.1400320165681,11.5624882280827,9.72889736294746,20.4999938607216,0.4667642767488,0.0176249633724767,-14.52,-8.31955068592651
"Ahunui (Byam Martin)","Ahunui (Byam Martin)",219.61,-19.63,"Island",0.0417125619327029,20.9797251545324,0.0409304341301322,0.0432768175378442,8,35.2727290236582,6.03606253862381,6.03606253862381,8.69288742542267,0.0657906380977809,0.00238719848257144,-19.63,-5.42180211301385
"Ailinginae (Ailiginae)","Ailinginae (Ailiginae)",166.42,11.12,"Island",0.0554711722458402,5.57860118608367,0.055469311773777,0.0554916374385357,11,31.7269671968905,34.7679853439331,33.5972219705582,54.2420446872711,2.88579408008187,0.0890394615593159,-11.12,-0.0402324850900478
"Ailuk (Aelok)","Ailuk (Aelok)",169.97,10.32,"Island",0.0494177993386984,9.71902890883923,0.0491810172796249,0.0506017096340656,10,39.5672269888027,8.72494876384735,8.72494876384735,18.2311788201332,0.602115701333889,0.0163907725067087,-10.32,-2.80759753912398
"Aitutaki","Aitutaki",200.22,-18.85,"Island",0.0367183351578812,16.4873345997798,0.0367183351578812, ,12,39.7794522796181,9.83431339263916,9.83431339263916,17.6293313503265,0.852062714225968,0.014132443867034,-18.85, 
"Akiaki (Lancier  Thrum Cap)","Akiaki (Lancier  Thrum Cap)",220.79,-18.56,"Island",0.0464099704598387,17.7531139933671,0.0437987074255943,0.0482751583414418,5,44.4923080007776,6.65430203080177,6.65430203080177,11.2422198057175,0.0155512853608737,0.000654408976297546,-18.56,-9.27278349702418
"Alamagan","Alamagan",145.83,17.6,"Island",0.0560439446320136,10.3932943786659,0.0548228979110718,0.0569161208612578,5,110.918984746165,6.23301491141319,6.63996301591396,43.8299089670181,0.191025915023743,0.00637744375583637,-17.6,-3.67773298410237
"Alim","Alim",147.06,-2.89,"Island",0.208180309583743,29.3792657988838,0.260322593152523,0.182109167799354,4,41.4012637595149,17.0400969684124,24.9875292181969,34.3971639871597,0.348222238227284,0.0278388209250775,-2.89,42.9486479447011
"Amanu (Moller)","Amanu (Moller)",219.17,-17.82,"Island",0.0551117177431782,13.2278546949065,0.0533416559919715,0.0559967486187816,4,58.6255530613186,11.1018538475037,9.33852903544903,17.2156855463982,0.0854009330391084,0.00327185841444694,-17.82,-4.74151212758011
"Ambitle","Ambitle",153.61,-4.08,"Island",0.139647088944912,16.4836644244116,0.138110594451427,0.147329561412334,10,38.7580903731765,17.6110550761223,19.9168302118778,32.706207036972,1.00865124475952,0.0716040918476667,-4.08,-6.25737759111742
"Anaa (Chain)","Anaa (Chain)",214.53,-17.4,"Island",0.0543688498437405,14.5724550841056,0.051762240473181,0.0595820685848594,8,62.2163108664083,8.15050043165684,8.15050043165684,24.317429959774,0.101494843463086,0.00413521904292577,-17.4,-13.1244656276763
"Anatahan","Anatahan",145.68,16.35,"Island",0.0584449001277486,12.3308741552648,0.0566848897271686,0.0637249313294888,9,82.522196009504,12.1406257152557,14.4323728978634,65.4282689094543,36.7646062760912,3.29674827228241,-16.35,-11.0475467849776
"Anatom (Aneityum)","Anatom (Aneityum)",169.82,-20.19,"Island",0.11308113237222,19.1745596603347,0.106448322534561,0.117818853684834,5,49.1108595803774,7.56704583764076,27.2844225168228,62.2910797595978,0.157578712436475,0.0050966959726976,-20.19,-9.650858750238
"Aniwa","Aniwa",169.59,-19.28,"Island",0.113444934288661,18.4815679676789, ,0.113444934288661,0, , ,36.6896763443947,57.6231896877289,0,0,-19.28, 
"Anuta","Anuta",169.84,-11.58,"Island",0.086861257130901,20.3510757842244,0.0864765092730522,0.088784996420145,10,49.95419553999,14.8311726748943,16.5426060557365,37.4456852674484,1.44833664288932,0.0449758811424413,-11.58,-2.60008699687128
"Apataki (Hegemeister)","Apataki (Hegemeister)",213.65,-15.31,"Island",0.0829040855169296,23.1869226412048,0.0853943079710007,0.0811253551925932,5,93.2695067668407,20.1477438211441,20.1217733323574,77.4240612983704,0.453685592962315,0.0180016577831607,-15.31,5.26216836681076
"Aratika (Karlshoff)","Aratika (Karlshoff)",214.5,-15.48,"Island",0.0701374641309182,9.44996766725879,0.0689167314105564,0.0737996622920036,9,43.7385808087635,10.4568175971508,9.10365395247936,15.0875255465508,0.570284232901939,0.0231641743254876,-15.48,-6.61646778562066
"Arno","Arno",171.67,7,"Island",0.0830704135199388,19.6042171416208,0.0943362228572369,0.0718046041826407,6,33.6368712305438,24.9331548810005,26.0906115174294,38.199520111084,0.420466597891371,0.0336379458664389,-7,31.3790723186569
"Arorae","Arorae",176.83,-2.64,"Island",0.146935282895962,4.76073593498537,0.148647405207157,0.143511038273573,8,51.9477753252659,5.91069478541613,5.91069478541613,15.0346741080284,0.660998314803677,0.0125137590639783,-2.64,3.57907447076847
"Asuncion","Asuncion",145.41,19.69,"Island",0.0559045827637116,15.5972222352347,0.0560719459317625,0.0555698564276099,8,50.2155630972764,5.4453432559967,6.07639830559492,13.9054208993912,0.258198253774655,0.00408905298854239,-19.69,0.90352852504955
"Ata (Pylstaart)","Ata (Pylstaart)",183.79,-22.33,"Island",0.093902583544453,16.3441840690794,0.0943459694584211,0.093754788239797,3,41.8659052015678,3.65542843937874,13.1016120314598,57.8080236911774,0.195597427418376,0.0028036603336335,-22.33,0.630561094236647
"Atafu","Atafu",187.51,-8.56,"Island",0.0843757248173157,17.5520292223172,0.0843757248173157, ,12,46.1776965642866,9.45367962121964,9.45367962121964,19.7222411632538,0.36040466924965,0.012181800287752,-8.56, 
"Atiu","Atiu",201.88,-19.99,"Island",0.0355091040643553,21.8017311688716,0.0361285269260406,0.0350666591631515,5,63.2853645564811,5.72356022894382,5.46413827687502,10.8068101108074,0.108842120592326,0.00266259817462941,-19.99,3.0281406561963
"Aua (Durour)","Aua (Durour)",143.06,-1.46,"Island",0.174479765196641,27.171561765159,0.182800143129296,0.149518631398678,9,55.6096896874808,15.6653538346291,15.6452983617783,32.3134899139404,0.35654633164031,0.0291863181928308,-1.46,22.2591067208713
