"feature","mean_abs_shap","response"
"Chlincreasenearby.reef_area_km2",15.221697408863,"IME strength"
"Chlincreasenearby.land_area_km2",8.14449361011586,"IME strength"
"Chlincreasenearby.mld_anom",4.87845106343686,"IME strength"
"Chlincreasenearby.avg_monthly_mm_anom",1.951620491406,"IME strength"
"Chlincreasenearby.mld_mean",1.60700087285534,"IME strength"
"Chlincreasenearby.bathymetric_slope",1.53337749002973,"IME strength"
"Chlincreasenearby.geomorphic_type",1.36920945739702,"IME strength"
"Chlincreasenearby.ted_mean",1.24577339812608,"IME strength"
"tedmean.reef_area_km2",0.456887470980606,"IME strength"
"Chlincreasenearby.mean_chlorophyll",0.189000986475368,"IME strength"
"tedmean.mld_mean",0.000170564122094499,"IME strength"
"tedmean.mean_chlorophyll",0.000159859316558659,"IME strength"
"tedmean.geomorphic_type",0.000158632089337557,"IME strength"
"tedmean.mld_anom",0.000156607768039043,"IME strength"
"tedmean.ted_mean",0.000155502968372826,"IME strength"
"tedmean.land_area_km2",0.000154005757086133,"IME strength"
"tedmean.avg_monthly_mm_anom",0.000149434521210138,"IME strength"
"tedmean.bathymetric_slope",0.000148350466394996,"IME strength"
